material_id,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-1,2,IrF2,P-3m1,0,FALSE,bottom-up,799,234,2dm-4963
2dm-10,2,SiBr4,P4/mmm,208,FALSE,bottom-up,513,128,2dm-4359
2dm-100,2,TiSe5,Pmmn,199,FALSE,bottom-up,0,75,2dm-3256
2dm-1000,2,EuN2,Amm2,0,FALSE,bottom-up,1138,,
2dm-1001,2,CePb5,Pmmm,0,FALSE,bottom-up,394,383,2dm-5724
2dm-1002,2,Be2Zn,P4/mmm,0,FALSE,bottom-up,747,513,2dm-5339
2dm-1003,2,BiI3,Pmn2_1,1679,FALSE,bottom-up,114,148,2dm-3709
2dm-1004,2,BN,P4/nmm,4993,FALSE,bottom-up,1114,55,2dm-3743
2dm-1005,2,AlCl,P4mm,0,FALSE,bottom-up,,296,2dm-3775
2dm-1006,2,PtS2,P2_1/c,1937,FALSE,bottom-up,49,132,2dm-3426
2dm-1008,2,GeP2,Pmc2_1,1317,FALSE,bottom-up,14,76,2dm-5490
2dm-1009,2,Zr3Se2,P4/mmm,0,FALSE,bottom-up,0,,2dm-3471
2dm-101,2,US3,P4/nmm,0,FALSE,bottom-up,183,54,2dm-5579
2dm-1010,2,Se4O9,P-3,1726,FALSE,bottom-up,110,83,2dm-3524
2dm-1011,2,CoCl3,C2/m,1286,FALSE,bottom-up,0,69,2dm-3618
2dm-1012,2,Mg2Bi,P-3m1,0,FALSE,bottom-up,431,392,2dm-3665
2dm-1013,2,GaBr,Pbcm,2626,FALSE,bottom-up,58,103,2dm-4627
2dm-1014,2,BI,Aem2,544,FALSE,bottom-up,1601,118,
2dm-1015,2,Sr2Bi,P-3m1,0,FALSE,bottom-up,410,379,2dm-3665
2dm-1016,2,MgF2,P-3m1,7515,FALSE,bottom-up,109,,2dm-4717
2dm-1017,2,PbI3,P1,1754,FALSE,bottom-up,98,,2dm-5235
2dm-1018,2,CuBr2,P2_1/c,0,FALSE,bottom-up,46,62,2dm-5086
2dm-1019,2,AgBr2,P2_1/c,0,FALSE,bottom-up,36,,2dm-3371
2dm-102,2,TlAs,P4/nmm,0,FALSE,bottom-up,434,303,2dm-3743
2dm-1020,2,CuF,Pmma,0,FALSE,bottom-up,271,110,2dm-5106
2dm-1021,2,B2Se,P3,1728,FALSE,bottom-up,471,,2dm-5781
2dm-1022,2,ScF3,P-31m,6712,FALSE,bottom-up,129,,2dm-5715
2dm-1023,2,NbF2,P-3m1,0,FALSE,bottom-up,357,49,2dm-5075
2dm-1024,2,Tl2Se3,P-62m,241,TRUE,bottom-up,210,,2dm-3796
2dm-1026,2,Al2O,P-3m1,0,FALSE,bottom-up,746,506,2dm-4083
2dm-1027,2,CaSi2,P-3m1,0,FALSE,bottom-up,1230,1258,2dm-5516
2dm-1028,2,NiSb2,P-3,0,FALSE,bottom-up,187,,2dm-5830
2dm-1029,2,AlN,P4/nmm,3479,FALSE,bottom-up,583,109,2dm-3743
2dm-103,2,PBr4,P-1,221,FALSE,bottom-up,145,161,2dm-4763
2dm-1030,2,NbS,P4/nmm,0,FALSE,bottom-up,408,92,2dm-4224
2dm-1031,2,GdF3,C2/m,4106,FALSE,bottom-up,0,,2dm-3657
2dm-1032,2,Be2As,P6/mmm,0,FALSE,bottom-up,703,455,2dm-3665
2dm-1033,2,GaI,P4/nmm,2247,TRUE,bottom-up,37,130,
2dm-1034,2,ZrCl3,P-1,367,FALSE,bottom-up,24,71,2dm-3805
2dm-1035,2,HfCl3,P-1,335,FALSE,bottom-up,49,70,2dm-3805
2dm-1036,2,Y2Sn,P-3m1,0,FALSE,bottom-up,921,601,2dm-5825
2dm-1037,2,AgI2,P2_1/c,0,FALSE,bottom-up,117,98,2dm-3371
2dm-1038,2,Sc2Cl5,P2_1/m,275,FALSE,bottom-up,55,66,2dm-5545
2dm-1039,2,Ca2As,P-3m1,0,FALSE,bottom-up,364,256,2dm-3665
2dm-104,2,AlCl,Pbcm,2531,FALSE,bottom-up,683,88,2dm-4627
2dm-1040,2,Ba5Tm,P1,0,FALSE,bottom-up,377,291,2dm-4330
2dm-1041,2,NbCl5,P1,557,FALSE,bottom-up,,218,
2dm-1042,2,SrSn2,P-3m1,0,FALSE,bottom-up,731,791,2dm-5517
2dm-1043,2,V2S3,C2/m,266,FALSE,bottom-up,56,72,2dm-4351
2dm-1044,2,InI3,Pmc2_1,1100,TRUE,bottom-up,53,,2dm-3521
2dm-1045,2,Tc3Cl8,Cm,37,FALSE,bottom-up,113,74,2dm-4993
2dm-1046,2,SmPb2,P4/mmm,0,FALSE,bottom-up,285,283,2dm-3160
2dm-1047,2,TcI3,C2/m,0,FALSE,bottom-up,0,,2dm-5379
2dm-1048,2,ThF2,P-6m2,371,TRUE,bottom-up,576,,2dm-3738
2dm-1049,2,BP,P4/nmm,0,FALSE,bottom-up,784,54,2dm-3743
2dm-105,2,Ge2Ru,P4/mmm,0,FALSE,bottom-up,441,369,2dm-3563
2dm-1050,2,Mg2Cd,P4/mmm,0,FALSE,bottom-up,342,325,2dm-5339
2dm-1051,2,HfBr4,P1,3084,FALSE,bottom-up,0,,2dm-4444
2dm-1052,2,U2S5,P2/m,0,FALSE,bottom-up,30,33,2dm-4396
2dm-1053,2,CeSn5,Pmmm,0,FALSE,bottom-up,347,359,2dm-5724
2dm-1054,2,CuBr,Pmma,644,FALSE,bottom-up,192,59,2dm-5106
2dm-1056,2,ReI3,C2/m,94,FALSE,bottom-up,233,,2dm-5379
2dm-1057,2,TcS,P4/nmm,0,FALSE,bottom-up,201,96,2dm-5286
2dm-1058,2,Re2Br5,P2/c,0,FALSE,bottom-up,494,,2dm-4185
2dm-1059,2,AuBr,Pmma,0,FALSE,bottom-up,274,108,2dm-5106
2dm-106,2,TcI3,P-3m1,749,FALSE,bottom-up,0,77,2dm-3697
