22,nelements,Formula,Spacegroup,Bandgap (meV),Is gap direct?,Discovery process,Decomposition energy (meV/atom),Exfoliation energy (meV/atom),Obtained from
2dm-3027,4,RbMg6BO7,P4mm,0,FALSE,top-down,656,22,mp-1033689
2dm-3030,4,CdPb2(ClO)2,C2/m,3700,FALSE,top-down,0,88,mp-1077904
2dm-3034,4,HfTaNO3,Pmm2,2116,TRUE,top-down,207,147,mp-1018719
2dm-3044,4,CaFeSO,P3m1,0,FALSE,top-down,399,295,mp-1078415
2dm-3047,4,TiZn(BiO3)2,Cm,0,FALSE,top-down,257,267,mp-1084840
2dm-3091,4,RbHfMg6O7,P4mm,0,FALSE,top-down,396,,mp-1098247
2dm-3097,4,YZnPO,P-3m1,1589,TRUE,top-down,56,120,mp-12509
2dm-3109,4,LaBiSe2O,P4/nmm,839,TRUE,top-down,32,63,mp-1078431
2dm-3163,4,YbCuPbSe3,Pmma,0,FALSE,top-down,176,176,mp-1095661
2dm-3174,4,HfMg6BO7,P4mm,0,FALSE,top-down,669,102,mp-1033263
2dm-3177,4,LaBiS2O,P4/nmm,912,TRUE,top-down,27,63,mp-1078397
2dm-3190,4,CuPb2(ClO2)2,P4mm,0,FALSE,top-down,355,203,mp-1079292
2dm-3193,4,RbLiMg6O7,P4mm,0,FALSE,top-down,434,20,mp-1031127
2dm-3235,4,NaTi2HO5,Pm,0,FALSE,top-down,128,25,mp-1079509
2dm-3261,4,SrFe2Se2O,Pmmn,1199,TRUE,top-down,232,337,mp-1095252
2dm-3307,4,NaB(SO4)2,P2/c,6007,TRUE,top-down,7,55,mp-1020658
2dm-3317,4,KUClO3,P2_1/m,1882,FALSE,top-down,35,54,mp-1095429
2dm-3324,4,CaC2(SN)2,P2/c,3882,FALSE,top-down,78,75,mp-11009
2dm-3336,4,SrFe2S2O,Pmmn,686,TRUE,top-down,305,381,mp-1095280
2dm-3340,4,NaEr(SO4)2,P2_1/m,5148,TRUE,top-down,56,91,mp-10476
2dm-3349,4,KRbMg6O7,P4mm,0,FALSE,top-down,,29,mp-1031389
2dm-3376,4,SrBiS2F,P4/nmm,879,TRUE,top-down,24,63,mp-1078631
2dm-3384,4,RbHfMg6O7,P4mm,0,FALSE,top-down,263,16,mp-1033679
2dm-3389,4,Sr2Co(BrO)2,P4/mmm,0,FALSE,top-down,93,59,mp-24866
