,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
1,Se2O5,monoclinic (P),0.3411066,9.89397875737509,6.445951045043469,9.665552493816634,90.0,104.49119998083498,90.0,596.8201764036422,P2_1/c,13,4,0.8406881093978882,0.07057486474514008,0.03945247083902359,orthorhombic (P),0.241115,6.715551104244329,8.952393254443976,7.077189882864355,90.0,90.0,90.0,425.48245623391165,19,61,29,0.23670388758182526,0.1438518911600113,0.13537652790546417
2,SeAs,monoclinic (P),0.39196312,11.568114107614667,12.56854733614231,5.144842042357007,90.0,97.35080117272145,90.0,741.8833935461967,P2_1/c,4,11,0.8839841485023499,0.04613679274916649,0.02807883359491825,orthorhombic (P),0.22006693,11.916194902178837,7.449034453437581,6.526613120911169,90.0,90.0,90.0,579.3292424315414,62,19,61,0.2265162467956543,0.21833427250385284,0.13974015414714813
3,Sn2S,orthorhombic (P),0.26359046,8.17094716313655,6.956190109721288,7.693140552266278,90.0,90.0,90.0,437.26781436297716,Pnma,55,58,0.8330535888671875,0.05668538436293602,0.05637497827410698,hexagonal (P),0.20913415,4.1534972288948975,4.1534972288948975,4.7587971788288215,90.0,90.0,120.0,71.09772057047161,191,164,169,0.4649457037448883,0.42190054059028625,0.023759696632623672
4,Bi2Te,rhombohedral (P),0.6744365,10.902575282949446,10.902575282949446,10.902575282949446,23.905971081623242,23.905971081623242,23.905971081623242,186.97666775673878,R-3m,160,148,0.9984449744224548,0.0013119447976350784,0.0001221371057908982,hexagonal (P),0.28583705,4.644406454958455,4.644406454958455,19.047367329275417,90.0,90.0,120.0,355.8164553619278,164,194,191,0.9977248311042786,0.0005116414395160973,0.0004116501659154892
5,MoBi,hexagonal (P),0.2144651,4.149349597268761,4.149349597268761,5.194142640574358,90.0,90.0,120.0,77.44699261006019,P6_3/m,194,193,0.7531692385673523,0.201807901263237,0.03200587257742882,orthorhombic (P),0.1762898,9.155998491915797,9.584898252643562,6.0953006507934555,90.0,90.0,90.0,534.9194034105012,62,58,55,0.5125905275344849,0.24349859356880188,0.09982363879680634
6,SbF3,monoclinic (P),0.32361802,8.24189078152458,9.16636353132246,11.254419663379526,90.0,99.06587340126835,90.0,839.6293033180331,P2_1/c,4,11,0.8554725646972656,0.05492546036839485,0.042115502059459686,orthorhombic (P),0.25209826,6.881217540105492,7.104423120191817,6.982427424517101,90.0,90.0,90.0,341.3504949881819,62,61,19,0.43226358294487,0.13246197998523712,0.11613833904266357
7,SnSb,rhombohedral (P),0.3739346,4.9563735897709424,4.9563735897709424,4.9563735897709424,66.9911412811598,66.9911412811598,66.9911412811598,98.99713803501724,R-3m,160,148,0.9765743613243103,0.011331896297633648,0.0048640090972185135,cubic (F),0.18208738,6.542806076678542,6.542806076678542,6.542806076678542,90.0,90.0,90.0,280.08647967906836,225,216,227,0.8053205013275146,0.17708925902843475,0.012908119708299637
8,MgBi,hexagonal (P),0.47886524,4.469278689902612,4.469278689902612,9.56485134235362,90.0,90.0,120.0,165.45646057273729,P-3m1,147,194,0.9986308217048645,0.00034877561847679317,0.0002888955641537905,cubic (F),0.2611691,7.043035524230515,7.043035524230515,7.043035524230515,90.0,90.0,90.0,349.3651949493631,216,225,219,0.973588764667511,0.02590937167406082,0.00039402447873726487
9,Tl2Se2,tetragonal (I),0.18895611,8.113519750786443,8.113519750786443,6.708255433597903,90.0,90.0,90.0,441.59910701296724,I4/mcm,87,139,0.922550618648529,0.06537940353155136,0.005866957828402519,monoclinic (C),0.14802684,11.81271968490258,5.740835129686289,9.136528981186666,90.0,116.51082584176743,90.0,554.4424449203779,15,12,9,0.6268225908279419,0.23323315382003784,0.08657442778348923
10,AsCl,monoclinic (P),0.34343427,9.269761492922969,10.440038194023744,8.328969489651847,90.0,96.32120420228338,90.0,801.1493217090654,P2_1/c,4,11,0.8478552103042603,0.06713160872459412,0.03327123820781708,orthorhombic (P),0.28985682,9.832143458639328,8.699999889813183,6.283124262466419,90.0,90.0,90.0,537.4562315111725,62,19,61,0.21319368481636047,0.20840923488140106,0.20396582782268524
11,BiSe,rhombohedral (P),0.5244901,10.834586395928724,10.834586395928724,10.834586395928724,23.166192909055766,23.166192909055766,23.166192909055766,172.7861470255868,R-3m,160,148,0.9963399171829224,0.002482563490048051,0.0006268976721912622,hexagonal (P),0.40260696,4.759196373186587,4.759196373186587,24.61677923082064,90.0,90.0,120.0,482.86876391355287,164,191,156,0.9956855773925781,0.0012073606485500932,0.0008655381388962269
12,O5N2,orthorhombic (P),0.2268652,6.352379478004301,6.6521282944613604,6.067747002174112,90.0,90.0,90.0,256.4038340291238,P2_12_12_1,62,61,0.2276444286108017,0.225750133395195,0.12312597781419754,monoclinic (P),0.22126308,6.716458647889459,7.548864694402098,8.885122840917388,90.0,99.98913607610508,90.0,443.66114308303287,14,11,4,0.9259399175643921,0.030098462477326393,0.023749936372041702
