,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
1,Pb2Sb,cubic (F),0.5804672,5.791142870921734,5.791142870921734,5.791142870921734,90.0,90.0,90.0,194.21950284658865,Fm-3m,227,216,0.9960724115371704,0.0018811397021636367,0.0013722358271479607,cubic (I),0.11385606,3.6889608865236556,3.6889608865236556,3.6889608865236556,90.0,90.0,90.0,50.200974932770215,229,197,214,0.9736545085906982,0.011243981309235096,0.0034534423612058163
2,SbF3,monoclinic (P),0.32361802,8.24189078152458,9.16636353132246,11.254419663379526,90.0,99.06587340126835,90.0,839.6293033180331,P2_1/c,4,11,0.8554725646972656,0.05492546036839485,0.042115502059459686,orthorhombic (P),0.25209826,6.881217540105492,7.104423120191817,6.982427424517101,90.0,90.0,90.0,341.3504949881819,62,61,19,0.43226358294487,0.13246197998523712,0.11613833904266357
3,Sr2O4,tetragonal (I),0.6172822,3.507872016697444,3.507872016697444,6.0984871715243285,90.0,90.0,90.0,75.0428975160748,I4/mmm,140,87,0.9744453430175781,0.019737374037504196,0.001508332323282957,orthorhombic (P),0.079465486,5.925745893696281,6.890113167148756,6.832201563780913,90.0,90.0,90.0,278.9523662633746,62,74,19,0.4861651659011841,0.3909207284450531,0.024852657690644264
4,LiO2,orthorhombic (P),0.1693663,5.788373561770562,6.490200697078353,4.065477475431911,90.0,90.0,90.0,152.730663057082,Pnma,59,19,0.527368426322937,0.06466362625360489,0.052913591265678406,monoclinic (P),0.1585683,6.489469391727295,4.730829577198824,8.655777208976556,90.0,101.18531009283784,90.0,260.68962531070554,14,11,4,0.6575009822845459,0.09247632324695587,0.08856044709682465
5,PbS2,monoclinic (P),0.3146302,7.736074034477798,11.616197176411594,9.444843476653665,90.0,111.11726665513359,90.0,791.7514136251998,P2_1/c,13,11,0.33577656745910645,0.20237937569618225,0.18436753749847412,orthorhombic (P),0.2962945,9.043743345891265,5.486589427169961,7.608014018603473,90.0,90.0,90.0,377.50438038577636,62,55,26,0.9047579169273376,0.030767537653446198,0.016940085217356682
6,Sn2Pb2,cubic (F),0.57370436,5.470246079967272,5.470246079967272,5.470246079967272,90.0,90.0,90.0,163.68941279600648,Fm-3m,216,227,0.9976599216461182,0.0012330650351941586,0.000694675138220191,hexagonal (P),0.18790577,3.64267107725415,3.64267107725415,3.789953090393663,90.0,90.0,120.0,43.55162672014131,191,194,187,0.7808285355567932,0.1677611768245697,0.023982703685760498
7,RuSe,cubic (P),0.3384448,6.042069861809995,6.042069861809995,6.042069861809995,90.0,90.0,90.0,220.57547725271223,Pa-3,198,201,0.9236235022544861,0.030403483659029007,0.016176816076040268,hexagonal (P),0.31143942,3.7640020286194,3.7640020286194,6.022923823258361,90.0,90.0,120.0,73.8988533404855,194,176,190,0.878573477268219,0.04900093004107475,0.012355946935713291
8,YbPb2,cubic (P),0.31641185,4.859926939706618,4.859926939706618,4.859926939706618,90.0,90.0,90.0,114.78607911310813,Pm-3m,224,205,0.9980601668357849,0.0006359912222251296,0.0004770586674567312,tetragonal (I),0.23763144,4.7388394538645215,4.7388394538645215,17.939827988035844,90.0,90.0,90.0,402.86752988511796,141,139,140,0.6366809010505676,0.16183212399482727,0.14992018043994904
9,S2O4,monoclinic (P),0.32754615,7.772999828895471,7.534589348649718,8.51112795552038,90.0,100.9897254159222,90.0,489.32462587608063,P2_1/c,4,13,0.9034132957458496,0.03188874572515488,0.02536741830408573,orthorhombic (P),0.26102313,6.439261179528248,7.467882428949118,6.904142585185311,90.0,90.0,90.0,332.0039605517961,19,62,61,0.28228995203971863,0.17062032222747803,0.13836848735809326
10,Sr2C,cubic (F),0.3474185,6.234538858948483,6.234538858948483,6.234538858948483,90.0,90.0,90.0,242.33325096613677,Fm-3m,227,196,0.5475556254386902,0.44253307580947876,0.003556822892278433,tetragonal (I),0.22048724,5.781160227872361,5.781160227872361,8.4160793477685,90.0,90.0,90.0,281.2806350384111,139,140,87,0.7072837948799133,0.2644898295402527,0.01975586824119091
11,Sb2As,rhombohedral (P),0.7663566,4.285106237332209,4.285106237332209,4.285106237332209,55.754926930671836,55.754926930671836,55.754926930671836,50.16004264086321,R3m,166,148,0.8461436629295349,0.1474592536687851,0.004935558885335922,hexagonal (P),0.09556602,3.4283637491708623,3.4283637491708623,3.8164386038052407,90.0,90.0,120.0,38.847466466061164,191,164,194,0.5262573957443237,0.3861331343650818,0.07060901075601578
12,FeS2,cubic (P),0.98681843,5.560688423902717,5.560688423902717,5.560688423902717,90.0,90.0,90.0,171.94346888891357,Pa-3,198,218,0.9995191097259521,0.00015600663027726114,7.997234934009612e-05,orthorhombic (P),0.0025308754,7.056879548369865,7.116052448727068,5.99338346759479,90.0,90.0,90.0,300.9704867084996,62,58,60,0.5232922434806824,0.15535061061382294,0.07468587905168533
13,Cl2C,monoclinic (P),0.34202117,7.48645848255136,10.553208823664109,9.9570268035171,90.0,104.95414411832239,90.0,760.024149132939,P2_1/c,4,13,0.8819279670715332,0.041945211589336395,0.027401398867368698,orthorhombic (P),0.2178077,10.100817978002997,9.09338262401207,9.691246083375663,90.0,90.0,90.0,890.1467935701288,62,61,19,0.45954716205596924,0.2683437764644623,0.05671308934688568
