,formula,Top-1 Bravais,Top-1 Bravais.1,Top-1 Bravais.2,Top-1 Bravais.3,Top-1 Bravais.4,Top-1 Bravais.5,Top-1 Bravais.6,Top-1 Bravais.7,Top-1 Bravais.8,Top-1 Bravais.9,Top-1 Bravais.10,Top-1 Bravais.11,Top-1 Bravais.12,Top-1 Bravais.13,Top-1 Bravais.14,Top-2 Bravais,Top-2 Bravais.1,Top-2 Bravais.2,Top-2 Bravais.3,Top-2 Bravais.4,Top-2 Bravais.5,Top-2 Bravais.6,Top-2 Bravais.7,Top-2 Bravais.8,Top-2 Bravais.9,Top-2 Bravais.10,Top-2 Bravais.11,Top-2 Bravais.12,Top-2 Bravais.13,Top-2 Bravais.14
1,NiBi,hexagonal (P),0.30911088,3.948450889693466,3.948450889693466,5.4862797705936694,90.0,90.0,120.0,74.07336318675189,P6_3/mmc,164,187,0.982484757900238,0.014312610030174255,0.0010850640246644616,monoclinic (C),0.30398434,13.429314660358495,5.36910473998866,14.846755466825957,90.0,96.96389384088755,90.0,1062.6041496839766,12,15,8,0.995165228843689,0.0036564527545124292,0.0006713669281452894
2,InSb,cubic (F),0.7675103,6.242749951164572,6.242749951164572,6.242749951164572,90.0,90.0,90.0,243.29199508116463,F-43m,225,227,0.9868816137313843,0.012372424826025963,0.0004130421730224043,rhombohedral (P),0.08819213,5.996623009948258,5.996623009948258,5.996623009948258,39.591231247414036,39.591231247414036,39.591231247414036,78.85232407665154,166,167,160,0.9384119510650635,0.02636398747563362,0.019771186634898186
3,Au2As2,orthorhombic (P),0.24457082,6.314114102453136,5.282824447597186,4.139125559577913,90.0,90.0,90.0,138.0661471234585,Pnnm,62,59,0.3628682792186737,0.20941558480262756,0.17251484096050262,hexagonal (P),0.16831283,3.6374159229701677,3.6374159229701677,5.245415233807012,90.0,90.0,120.0,60.103039035724805,194,187,186,0.8343756198883057,0.08669888973236084,0.019915807992219925
4,AsB,cubic (F),0.39284843,4.417355735738527,4.417355735738527,4.417355735738527,90.0,90.0,90.0,86.19600248424742,F-43m,219,225,0.9988497495651245,0.0006333405617624521,0.00047111071762628853,tetragonal (P),0.10231157,7.266568887586741,7.266568887586741,5.548379626416649,90.0,90.0,90.0,292.9712192349068,111,131,81,0.8440171480178833,0.05082381144165993,0.04145107418298721
5,ZnSb,rhombohedral (P),0.6595356,8.164522337637553,8.164522337637553,8.164522337637553,107.32061197154228,107.32061197154228,107.32061197154228,449.2272049695838,R-3c,155,166,0.982627809047699,0.013332153670489788,0.001563933794386685,orthorhombic (P),0.097076714,7.218969902240746,10.284253452238335,7.505657504885669,90.0,90.0,90.0,557.2328939122054,19,61,62,0.2591610550880432,0.1882721483707428,0.16640880703926086
6,MgBa,cubic (P),0.37239408,4.08548209166587,4.08548209166587,4.08548209166587,90.0,90.0,90.0,68.19145128962269,Pm-3m,198,200,0.9951874017715454,0.0015823449939489365,0.0009439517161808908,cubic (F),0.18624717,7.107128895720574,7.107128895720574,7.107128895720574,90.0,90.0,90.0,358.99018575270543,225,227,216,0.6229528188705444,0.3669606149196625,0.009933599270880222
7,BeSr,cubic (F),0.36100328,6.1284183291536385,6.1284183291536385,6.1284183291536385,90.0,90.0,90.0,230.16814014030746,Fm-3m,227,216,0.7008724808692932,0.2892957329750061,0.008578190580010414,hexagonal (P),0.2365913,3.7638528318316857,3.7638528318316857,4.869911697305965,90.0,90.0,120.0,59.74712143913492,191,194,164,0.6207074522972107,0.3595292270183563,0.009380879811942577
8,GaAs2,cubic (F),0.41386572,5.556912341322513,5.556912341322513,5.556912341322513,90.0,90.0,90.0,171.5934230557366,F-43m,225,227,0.9890117645263672,0.0056151654571294785,0.0033786396961659193,rhombohedral (P),0.20749442,4.491808857096688,4.491808857096688,4.491808857096688,59.25026269606016,59.25026269606016,59.25026269606016,62.98954294224492,160,166,146,0.47735896706581116,0.4217764139175415,0.03742777183651924
9,HfHg,cubic (P),0.26343268,3.7265737949752964,3.7265737949752964,3.7265737949752964,90.0,90.0,90.0,51.75224297419254,Pm-3m,198,212,0.8943781852722168,0.06886201351881027,0.01914859749376774,tetragonal (P),0.25258613,3.0620694404985915,3.0620694404985915,4.744926439477194,90.0,90.0,90.0,44.48970790800715,123,136,127,0.6127648949623108,0.2372698187828064,0.08448050171136856
10,MoSb,hexagonal (P),0.2656568,5.631422231360516,5.631422231360516,6.376153821849182,90.0,90.0,120.0,175.11590759039487,P6_3/mmc,193,176,0.6203409433364868,0.2584584951400757,0.06249820441007614,orthorhombic (P),0.18627548,6.281472442792378,4.514014345152233,6.132182130282355,90.0,90.0,90.0,173.87591922073156,62,58,55,0.9632794260978699,0.013652653433382511,0.010556348599493504
11,Cd2Hf2,cubic (P),0.3430999,3.63901630117625,3.63901630117625,3.63901630117625,90.0,90.0,90.0,48.1894537181267,Pm-3m,212,215,0.9518244862556458,0.022086553275585175,0.007004708983004093,hexagonal (P),0.20744798,4.882312053316685,4.882312053316685,5.436924832858344,90.0,90.0,120.0,112.23673600741958,164,194,189,0.3178945481777191,0.31432583928108215,0.11124291270971298
12,CaBi,tetragonal (I),0.44271764,4.762036175702419,4.762036175702419,14.197471067130973,90.0,90.0,90.0,321.95588866783294,I4/mmm,142,141,0.9287463426589966,0.029418818652629852,0.015164626762270927,orthorhombic (P),0.16673903,16.383937370906782,11.340928412955643,5.225759627064818,90.0,90.0,90.0,970.9934885108249,55,62,52,0.7237300276756287,0.2399096041917801,0.01268980372697115
13,TlSb,cubic (F),0.2376147,6.150569877900609,6.150569877900609,6.150569877900609,90.0,90.0,90.0,232.6730436127096,F-43m,225,219,0.5282689332962036,0.4064819812774658,0.02922479435801506,cubic (P),0.16274564,4.182574808317776,4.182574808317776,4.182574808317776,90.0,90.0,90.0,73.16967939528351,221,205,198,0.9158099889755249,0.06550248712301254,0.009344473481178284
14,ScTe,cubic (F),0.5203575,6.204529133709139,6.204529133709139,6.204529133709139,90.0,90.0,90.0,238.85068133501434,Fm-3m,227,216,0.9987143278121948,0.0006782864802516997,0.00047112457104958594,rhombohedral (P),0.118220046,7.672964419676458,7.672964419676458,7.672964419676458,62.0208182684345,62.0208182684345,62.0208182684345,333.8654263570035,166,148,146,0.9783310890197754,0.011064590886235237,0.0065492079593241215
15,WTe,hexagonal (P),0.4191963,3.868649090791291,3.868649090791291,11.058152720466197,90.0,90.0,120.0,143.32828097148516,P6_3/mmc,147,176,0.9878631830215454,0.0029658202547580004,0.00188112398609519,orthorhombic (P),0.217983,3.8540438061073665,37.18153577979364,8.409141708204599,90.0,90.0,90.0,1205.0238485498596,19,62,31,0.13931362330913544,0.13242985308170319,0.11486390233039856
16,LuGe2,orthorhombic (C),0.89391404,4.2809371596923755,17.16464695553879,4.387388742678116,90.0,90.0,90.0,322.3887249723062,Cmcm,36,20,0.9045234322547913,0.029036587104201317,0.0257890522480011,orthorhombic (P),0.03354194,4.284230830767234,4.341718564520867,15.684464812917007,90.0,90.0,90.0,291.7455463198345,74,62,59,0.6501215100288391,0.13316039741039276,0.09408749639987946
17,TiPb2,hexagonal (P),0.5371657,6.080543734308045,6.080543734308045,7.91565504234653,90.0,90.0,120.0,253.45585281284048,P6_3/mmc,193,182,0.8026924133300781,0.16435877978801727,0.010550884529948235,tetragonal (I),0.1804004,3.9052366106662944,3.9052366106662944,11.478905345154672,90.0,90.0,90.0,175.0633274291016,140,139,141,0.9190880656242371,0.029772091656923294,0.029347872361540794
